Keywords	Section	Title	Description	
bed_bug	Class	Class	Bugs	
bed_bug	OtherKeywords	OtherKeywords	"tiny,reddish,brown,bed,itch"	
bed_bug	Characteristics	Size	"About the size of an apple seed, or 5-7 mm."	
bed_bug	Characteristics	Shape	"Oval and flat, unless they have recently fed."	
bed_bug	Characteristics	Color	"Light tan to reddish-brown, darkening after feeding."	
bed_bug	Characteristics	Body	"Wingless, with a wrinkled upper body."	
bed_bug	Health concern	Skin Irritation	"Itching, redness, and swelling at the bite site"	
bed_bug	Health concern	Allergic reactions	including hives and anaphylaxis (in rare cases)	
bed_bug	Health concern	Secondary Infections:	Scratching the bites can break the skin and increase the risk of bacterial or fungal infections.	
bed_bug	Health concern	Psychological Impact	"Stress, anxiety, and insomnia due to the discomfort and fear associated with bed bug infestations."	
black_widow	Class	Class	Bugs	
black_widow	OtherKeywords	OtherKeywords	"black,dark brown,spider,hourglass,red mark,venemous,swell,numbness,muscle ache"	
black_widow	Characteristics	Female black _widow Body	"Shiny black or very dark brown with a large, rounded abdomen."	
black_widow	Characteristics	Female black _widow Markings	"A red or orange hourglass shape on the underside of the abdomen, which can sometimes appear as two separate triangles or be faded."	
black_widow	Characteristics	Female black _widow Size	"About 1/4 to 1/3 inch long, though sizes can vary."	
black_widow	Characteristics	Male black _widow Body	Lighter brown or gray with a more elongated body.	
black_widow	Characteristics	Male black _widow Markings	Often has red and white bands or spots on the sides of the abdomen.	
black_widow	Characteristics	Male black _widow Size	"Much smaller than females, around 1/10 to 1/4 inch long."	
black_widow	Characteristics	Juvenile black _widow Body	"Light brown or gray, with stripes and spots that are red, orange, or yellow."	
black_widow	Characteristics	Juvenile black _widow Markings	Will have an hourglass shape that becomes more defined as they mature.	
black_widow	Health concern	Initial bite	May feel like a simple pinprick and is often not noticed immediately.	
black_widow	Health concern	Within an hour	"The bite area may swell, become painful, and develop redness or numbness."	
black_widow	Health concern	Within hours	A dull muscle ache can spread throughout the body.	
black_widow	Health concern	Serious symptoms	"Can develop, including severe muscle cramps, abdominal pain, sweating, nausea, vomiting, and high blood pressure."	
black_widow	Health concern	When to seek emergency care	"Call 911 or go to the emergency room immediately if you experience any of the following, especially if you are a child or an older adult: Severe pain or worsening whole-body symptomsDifficulty breathingHeart palpitations or racing pulseSigns of infection (fever or yellow discharge)Severe headache or vision problems"	
black_widow	Health concern	Recovery time	"Most healthy individuals recover fully within 24 to 48 hours, though milder symptoms can last for several weeks."	
black_widow	Health concern	Risk factors	"Young children, the very ill, and the elderly are at higher risk for severe complications and potentially fatal outcomes."	
black_widow	Health concern	Cardiac issues	"In rare cases, a black _widow bite can cause cardiac problems like heart inflammation, but this is usually reversible with treatment."	
black_widow	Health concern	Infection risk	There is a risk of secondary infection if the bite is not properly cleaned.	
poison_hemlock	Class	Class	Plants	
poison_hemlock	OtherKeywords	OtherKeywords	"triangular, lacy, fern like,grayish-brown,smooth,hollow stem,purple spot,coma,low blood pressure"	
poison_hemlock	Characteristics	Size	"2 to 10 feet tall, with some sources stating it can reach up to 12 feet"	
poison_hemlock	Characteristics	Shape	"triangular, lacy, fern-like leaf shape"	
poison_hemlock	Characteristics	Color	grayish-brown color when mature.	
poison_hemlock	Characteristics	body	"smooth, hollow, and ridged stems with distinctive purple spots, which are covered in hairless and lacy, fern-like leaves that resemble parsley"	
poison_hemlock	Health concern	Risk factors	"Central nervous system suppression, coma, kidney failure, low blood pressure, muscle breakdown, muscle death, muscle paralysis, adnd respiratory paralysis"	
poison_hemlock	What to do		"instantly seek emergency help, get fresh air, throw out all contaiminated things, wash your skin, and wash your eyes"	
human_botfly	Class	Class	Bugs	
human_botfly	OtherKeywords	OtherKeywords	"chunky,bee-like,yellow,blue abdomen,pain,ichy,swell,larva"	
human_botfly	Characteristics	Size	12-18mm long	
human_botfly	Characteristics	Shape	"A chunky, bee-like aperrence"	
human_botfly	Characteristics	Color	"A yellow face, a metalic blue abdomen, and orange legs."	
human_botfly	Health concern	Pain and Discomfort	"The developing larva creates a firm, painful, and itchy lump (known as a ""warble"") under the skin. A person may feel sensations of movement or sharp, stabbing pain as the larva moves or anchors itself with its spines."	
human_botfly	Health concern	Inflammation and Discharge	"A local inflammatory response with redness, swelling, and a serous, bloody, or pus-like discharge from a central breathing hole (punctum) is common."	
human_botfly	Health concern	Tissue Damage and Scarring	"As the larva grows, it consumes living tissue and can cause damage to the muscle. After the larva is removed and the wound heals, a significant scar may be left behind."	
German_Shepherd	Class	Class	Animals	
German_Shepherd	OtherKeywords	OtherKeywords	"dog,black,big dog,black back,big ear,large ear,rabies,tentanus"	
German_Shepherd	Characteristics	Size	"Males stand 24 to 26 inches tall at the shoulder and typically weigh between 65 to 90 pounds. Females are slightly smaller, standing 22 to 24 inches and weighing 50 to 70 pounds."	
German_Shepherd	Characteristics	Build	"They have a strong, athletic build with a body that is typically longer than it is tall. The back can be straight (common in working lines) or sloped toward the hindquarters (often seen in show lines)."	
German_Shepherd	Characteristics	Head and Face	"The head is proportionate to the body, tapering to a strong, square-cut muzzle with a black nose and powerful jaws. They have medium-sized, dark, almond-shaped eyes that convey a keen and intelligent expression."	
