Title	Section	Description
Alfalfa (Medicago sativa L.)	Description	"Alfalfa is an excellent forage crop when harvested and stored properly. However, the plant can cause ""hepatogenous photosensitivity syndrome"" if water-damaged (Monlux AW . J Am Vet Med Assoc, Vol. 142, 9, p. 989-994, 1963). "
Alfalfa (Medicago sativa L.)	Distribution	"Alfalfa is commonly cultivated for animal feed, and instances of it growing in the wild often occur near areas where it is purposefully cultivated. Midwestern states where it is commonly found include Illinois, Tennessee, and Alabama, but it is also found in western states like Colorado and New Mexico."
Alfalfa (Medicago sativa L.)	Conditions of Poisoning	"Consuming fresh alfalfa can cause cause bloating in cattle and sheep. Additionally, ""saponins found in alfalfa limit its use for swine and poultry."" (Source: Cornell University Plants Poisonous to Livestock) "
Alfalfa (Medicago sativa L.)	Control	"Limit your livestock's intake of alfalfa, and ensure that you're not feeding them moldy or damp feed. "
Alfalfa (Medicago sativa L.)	Toxic Principle	All parts of the plant. The primary poisons are canavanine and saponins.
Alfalfa (Medicago sativa L.)	Clinical Signs	Fresh alfalfa can cause bloating in cows.
Alfalfa (Medicago sativa L.)	Animals Affected	"Cattle, chickens, sheep, horses"
Alfalfa (Medicago sativa L.)	References Used	http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30234961-2#distribution-map
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	Description	"Bloodroot is a low, glabrous, stemless perennial herb. It has extensively branched rhizomes, and each growing tip produces a flower stem and a leaf that is palmately lobed with 5 to 7 lobes. The flower appears from March to May, rolled in a single leaf. The white-to-pink flower has 8-12 oblong petals and numerous golden yellow stamens. The flower is initially taller than the leaf, but as it turns to fruit, the leaf unfolds and flattens to shade the fruit. The root has reddish-orange sap.    "
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	Distribution	Bloodroot grows throughout the mid to eastern states of the U.S. east of the Mississippi and from southern Canada to the northern half of Louisiana and Georgia. It is found in most counties of Illinois in moist but well-drained woodland soil. 
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	Conditions of Poisoning	All parts of the plant are poisonous but the toxins are most highly concentrated in the root after leaves are completely open. The active alkaloid levels vary greatly between regions as well as populations. 
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	Toxic Principle	"The red-colored latex from this plant contains several alkaloids similar to those found in the Opium Poppy, and include sanguinarine, chelerythrine, protopine, and homochelidonine, as well as resins. "
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	Clinical Signs	"Symptoms of bloodroot poisoning include nausea, vomiting, faintness, dizziness, dilated pupils, fainting, diarrhea, and heart failure. Poisoning can be fatal."
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	Animals Affected	Goats
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	References Used	"Burrows, George E., & Tyrl, Ronald J. (2013). Toxic plants of North America. Hoboken: Wiley-Blackwell."
Bloodroot or Red Puccoon (Sanguinaria canadensis L.)	References Used	https://plants.ces.ncsu.edu/plants/all/sanguinaria-canadensis/
Bouncing Bet (Saponaria officinalis L.)	Description	"Bouncing bet is an herbaceous perennial which grows from rhizomes. Its close relative, cow cockle (Saponaria vaccaria L.), is an annual. It grows to be 1-3 feet tall. The stems are erect and jointed with opposite elliptic leaves which are 3-4 inches long and 1/2 to 1-1/2 inches wide at the middle. The leaf margins lack teeth."
Bouncing Bet (Saponaria officinalis L.)	Description	"The flowers come in clusters of cylindric sepals and bloom from June to September, displaying 5-6 petals notched at the apex. Petal colors range from white to pink. The fruit is a capsule about 1 inch long and 1/4 inch thick containing many somewhat round black seeds. The seeds have minute bumps on the surface."
Bouncing Bet (Saponaria officinalis L.)	Distribution	"Originally from Europe, bouncing bet and the related species, cow cockle (Saponaria vaccaria L.), grow in open unused areas, along roadsides and railroad tracks, and waste grounds throughout the U.S. Bouncing bet is found in nearly all counties of Illinois, while cow cockle is limited only to scattered counties in northern and central Illinois. Bouncing bet and cow cockle are considered weeds, although they are attractive plants."
Bouncing Bet (Saponaria officinalis L.)	Conditions of Poisoning	"The abundance of bouncing bet along roadsides and in other wastelands makes it easily accessible to animals allowed to graze in such places. Although the entire plant is poisonous, the seeds contain the largest concentration of the toxic principle."
Bouncing Bet (Saponaria officinalis L.)	Control	"Screenings of grain should be checked for large quantities of Saponaria seeds. Animals tend to avoid contaminated feed because the plants apparently are distasteful. Animals should not be grazed where Saponaria species is abundant, especially when the pasture grasses are present in short supply or are exceedingly dry. "
Bouncing Bet (Saponaria officinalis L.)	Toxic Principle	"Bouncing Bet contains large amounts of saponins, which froth when extracted with water. The saponins are soluble in water and alcohol. The sapotoxins of these saponins are similar or identical to those of corn cockle (Agrostemma Githago). Hydrolysis of the saponins yields sugars and sapogonins, a group of physiologically active substances."
Bouncing Bet (Saponaria officinalis L.)	Toxic Principle	The toxic material is contained in highest concentration in the seeds. Most animals refuse to eat the seeds and avoid grains or screenings containing them. Feeding of the plant itself to sheep in an amount of 3% of the body weight caused death within 4 hours; the plant weight being expressed on a dry-weight basis.
Bouncing Bet (Saponaria officinalis L.)	Clinical Signs	"Poisoning caused by bouncing bet is usually mild, as animals tend to avoid the feed that contains this plant. The poison irritates the digestive tract and may cause vomiting, signs suggestive of nausea, and diarrhea. Slowed or rapid breathing as well as unsteadiness, ataxia and coma also are associated with poisoning by this plant."
Bouncing Bet (Saponaria officinalis L.)	Animals Affected	"Cattle, sheep, horses"
Bracken Fern or Brake Fern (Pteridium aquilinum)	Description	"Bracken fern is a typical fern. Its large triangular fronds are divided into three main parts with each part bipinnately subdivided. These fronds are 2 to 4 feet long by 1 to 3 feet wide. They are borne at the tips of erect, rigid, straw-colored, smooth stalks 1 to 3 feet tall. The stalks rise at intervals from stout black underground rootstocks sometimes a yard or more long."
Bracken Fern or Brake Fern (Pteridium aquilinum)	Description	"Spores are borne in late summer at the edges on the lower sides of mature fronds, and the edges fold under to form the spore cover. The rootstocks also spread the fern."
Bracken Fern or Brake Fern (Pteridium aquilinum)	Distribution	"Many varieties of bracken fern are found throughout the U.S., particularly in dry pastures and meadows, abandoned fields, and open woods on sandy and gravelly soil. In Illinois it may be a pest throughout the northern third of the state."
Bracken Fern or Brake Fern (Pteridium aquilinum)	Distribution	"Even when there is no bracken fern in the open pastures, it may be growing in the fencerows and along roadsides, where animals may browse it when other forage is scarce."
Bracken Fern or Brake Fern (Pteridium aquilinum)	Conditions of Poisoning	"In dry, hot seasons or in late summer to early fall, when succulent herbage is scarce, animals more often eat bracken, although they generally avoid it at other times. Also, if hay is cut from bracken fern-infested meadows and fed, poisoning may result. Both cattle and horses are susceptible to bracken fern poisoning. Sheep and swine rarely eat bracken fern, but exposed swine (at least) may sometimes experience a thiaminase-mediated syndrome."
Bracken Fern or Brake Fern (Pteridium aquilinum)	Control	"Especially during dry periods, animals should be kept out of bracken fern-infested pastures. Hay from infested meadows should not be used for feed or bedding. Generally bracken fern should be eliminated from pastures and hayfields. Large infestations of bracken fern may be reduced gradually by pulling or mowing the fronds twice a year (in June and August) or by fertilizing and liming infested areas. "
Bracken Fern or Brake Fern (Pteridium aquilinum)	Toxic Principle	"Thiaminase from bracken fern especially affects horses and pigs but not cattle. Ptaquiloside affects cattle and sheep and causes bone marrow damage. Other toxic principles that affect cattle are: aplastic anemia factor, and hematuria causing factor. "
Bracken Fern or Brake Fern (Pteridium aquilinum)	Clinical Signs	Bracken fern poisoning affects the cow and the horse differently with regard to both clinical signs of illness and tissue damage. Consumption of the plant may also affect the flavor and odor of the milk produced by the animal.
Bracken Fern or Brake Fern (Pteridium aquilinum)	Clinical Signs	In cattle:
Bracken Fern or Brake Fern (Pteridium aquilinum)	Clinical Signs	"After feeding on bracken fern for several to many days, cattle often sicken rather suddenly and, contrary to their reaction to most types of plant poisoning, they may show a very high fever. Major effects of bracken fern poisoning in cattle are related to damage to the blood forming elements (decreases production of white blood cells, red blood cells, and platelets) and sometimes to urinary tract carcinogenesis. Clinical signs may include rapid loss of body weight, difficult breathing, excessive salivation, bleeding from the nose, blood in the droppings, and congested, hemorrhagic, or icteric (jaundiced or yellowish) mucous membranes may also be observed. Bracken fern poisoning has been mistaken for anthrax and other infectious diseases of cattle."
Bracken Fern or Brake Fern (Pteridium aquilinum)	Clinical Signs	In horses:
Bracken Fern or Brake Fern (Pteridium aquilinum)	Clinical Signs	"The first clinical signs of bracken fern poisoning in horses are usually an unsteady gait, a ""tucked up"" appearance of the flanks, nervousness, timidity, congestion of the visible mucous membranes, and constipation. Later, the horse may stand with legs spread, walking with a staggering gait, and occasionally fall, especially if its head is raised suddenly. The appetite may remain normal. Dilated pupils and both increased and decreased heart action have been reported in cases of equine bracken fern poisoning. If not treated, death occurs in 2-10 days, though some horses occasionally survive up to 30 days or more after onset of poisoning."
Bracken Fern or Brake Fern (Pteridium aquilinum)	Animals Affected	"Horse, cattle, sheep, swine"
Bracken Fern or Brake Fern (Pteridium aquilinum)	References Used	"Knight, A. P., & Walter, R. G. (2001). A guide to plant poisoning of animals in North America. Jackson, Wyo.: Teton NewMedia."
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Description	"A tree which reaches a maximum height of 50-70 feet with a rough bark that has disagreeable odor. The leaves are made up of 5 rather large, leaf-like leaflets set like the fingers or a hand, at the end of the leafstalk."
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Description	Blossoms: Large clusters of pale yellowish-green blossoms appear at the ends of the branches. They are usually seen in May after the leaves appear.
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Description	"Fruit: A globular, spine-roughened capsule which contains 1-3 large glossy chocolate-colored nuts each with a large whitish scar. "
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Distribution	"The buckeye grows in woods throughout Illinois, preferring rich, moist soils. In the northern part of the state it is infrequent. Southward it is more common, but nowhere in Illinois does it occur other than as an occasional tree. "
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Conditions of Poisoning	"Sprouts, leaves, and nuts of the plant are reported to have caused illness or death in cattle, sheep, and pigs when these animals were pastured where sprouts were present and where other forage was scarce. Especially poisonous are the young sprouts and the seeds. Poisoning does not always follow when animals feed on the tree. In experimental feeding, symptoms of poisoning appeared in only a small number of the animals."
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Control	"Until grass or other forage is abundant, animals should not be allowed to graze in woodland pastures where there are buckeye sprouts. Sprouts and seedlings should be grubbed out of pastures. If the trees are few, as they usually are, it may be advisable to collect the nuts in order to keep hogs from getting them. The tree has little commercial value, but since it is uncommon, it should not be unnecessarily destroyed. "
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Toxic Principle	"Glycosides, especially a glycosidic saponin called aesculin and possibly a narcotic alkaloid. Note: Glycoside is defined as a molecule containing a carbohydrate (sugar) moiety, particularly any such natural product in plants."
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Clinical Signs	"In simple stomached animals, vomiting and gastroenteritis are the primary effects of the toxic glycoside."
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	Animals Affected	"Cattle, sheep, pigs, goats"
Buckeye or Horse Chestnut (Aesculus glabra Willd.)	References Used	"Knight, A. P., & Walter, R. G. (2001). A guide to plant poisoning of animals in North America. Jackson, Wyo.: Teton NewMedia."
Buttercup (Ranunculus spp.)	Description	"The small-flowered buttercup is an erect, often widely branched smooth herb with a hollow stem. It grows 6 inches to 2 feet tall. It has two kinds of leaves: petioled basal leaves that are roundish and have scalloped edges, and alternately placed stem leaves that are stalkless, deeply divided, and made up of about 5 narrow lobes, often 3-pointed. Its flowers are yellow, are 1/4 inch wide or less, and have 5 petals, which are shorter than the 5 green sepals. After the flowers wither, numerous seeds form globose heads at the tops of the flower stalks."
Buttercup (Ranunculus spp.)	Description	"The cursed buttercup (Ranunculus sceleratus L.) is similar to the small-flowered buttercup but has divided basal leaves. Its stems are hollow. The hooked buttercup (Ranunculus recurvatus Poir.), so-named because of its hook-tipped seeds, has long yellow petals that form a flower 1 inch wide. The swamp buttercup (R. septentrionalis Poir.) has 3-lobed leaves and bright-yellow flowers 1 inch or more wide. "
Buttercup (Ranunculus spp.)	Distribution	"The buttercups named above occur as frequent to common plants throughout the state. The small-flowered buttercup, often a troublesome weed, may be found in any location that is not very sandy or wet. The cursed buttercup is limited to the northern third of the state, where it may be abundant in ditches and springy places as well as in ponds. The swamp buttercup grows in wet woods everywhere in the state."
Buttercup (Ranunculus spp.)	Distribution	"Several other kinds of buttercups, less abundant or less widely distributed, may be seen in other habitats or from place to place. The tall buttercup (Ranunculus acris L.), to which poisoning of stock is commonly attributed, occurs in northern and central Illinois as a plant introduced locally along highways and railroads. "
Buttercup (Ranunculus spp.)	Conditions of Poisoning	"Buttercups generally inhabit moist areas. Animals allowed to graze in woods, in wet meadows, and by ditches and streams browse the buttercups with other succulent plants. All animals are susceptible to buttercup poisoning, but cows are most often poisoned. Dried buttercups, however, are not poisonous; therefore animals can be fed buttercup-infested hay without danger. "
Buttercup (Ranunculus spp.)	Control	"Animals should not be grazed in pastures heavily infested with buttercups, especially when other herbage is scant or dry. Buttercups are hard to destroy because of their tendency to inhabit moist and wet places. Mowing the plants each year before they produce seed will tend to keep them from increasing and may eventually destroy them. "
Buttercup (Ranunculus spp.)	Toxic Principle	"Ranunculus spp. contain the glycoside, ranunculin from which the poisonous principle, protoanemonin is released when the plant is crushed by virtue of enzymatic action which is activated by crushing. Protoanemonin is a volatile, yellow oil with a lactone moiety which is extremely prone to undergo spontaneous polymerization to yield the innocuous anemonin. Protoanemonin is a bitter tasting oil. "
Buttercup (Ranunculus spp.)	Clinical Signs	"Buttercup poisoning causes cows to give less milk and may cause the milk to be bitter and red tinted. Severe poisoning brings on colic and diarrhea, with black foul-odored feces, nervousness, twitching of the ears and lips, difficult breathing, and eventually convulsions. The symptoms shown by horses and sheep are similar, but poisoned sheep are likely to fall suddenly. Pigs suspected of tall-buttercup poisoning have shown paralysis but not much digestive disorder. "
Buttercup (Ranunculus spp.)	Animals Affected	"Cattle, goats, horses"
Castor Bean (Ricinus communis)	Description	"Castor bean is a herbaceous annual which can reach to nearly 15 feet tall when growing in open spaces in warm climates. Large leaves are alternate, palmately lobed with 5-11 toothed lobes. Leaves are glossy and often red or bronze tinted when young. Flowers appear in clusters at the end of the main stem in late summer. The fruit consists of an oblong spiny pod which contains three seeds on average. Seeds are oval and light brown, mottled or streaked with light and dark brown and resemble a pinto bean. The plant itself is fast growing, but the seeds require a long frost-free season in order to mature. "
Castor Bean (Ricinus communis)	Distribution	"Castor bean is native to the tropics (Africa) but is planted as a garden plant throughout the U.S. for its large, striking appearance. It is now commerically grown in the U.S. in Illinois, Missouri, Kansas, Oklahoma, Oregon and California. As a result, it is naturalized in the south where winters are mild and most often is found near streambeds, dumping grounds, barnyards or along roadsides."
Castor Bean (Ricinus communis)	Conditions of Poisoning	"All parts of the plants are toxic, but most dangerous are the seeds. The most susceptible animal species include cattle, horses, sheep, pigs, fowl, rabbits and other small animals. Seeds ingested at 0.2% of body weight have caused toxicosis in cattle and 0.01% of body weight was toxic to horses."
Castor Bean (Ricinus communis)	Control	"Castor bean plants are grown largely as commercial and garden plants, and should not be planted in or near livestock enclosures. Plants may appear in the wild in areas of the south where the plant has become naturalized, and animals should not be allowed to graze in areas where the plant grows."
Castor Bean (Ricinus communis)	Toxic Principle	"The principle toxin of castor bean is ricin which is a lectin, also termed a toxalbumin. Ricin may comprise up to 3% of the seed weight. Toxalbumins are very toxic plant-derived compounds that combine carbohydrate and protein moieties or components. Ricin is water soluble and is not present in castor oil. Taken orally, ricin is readily absorbed from the stomach and intestine. Another phytotoxin in castor bean, ricinine, is reportedly goitrogenic, but the significance of this compound is not clearly established."
Castor Bean (Ricinus communis)	Clinical Signs	"Signs appear after a characteristic lag period of a few hours to days, usually between 12 hours and 48 hours. Signs support nausea and include evidence of abdominal pain, bloody diarrhea, tenesmus, and dehydration. Additional signs may be anorexia, cessation of rumination, excessive thirst, weakness, muscle twitching, dullness of vision, convulsions, dyspnea, opisthotonus and coma. At postmortem severe inflammation of the stomach and intestine are evident."
Castor Bean (Ricinus communis)	Clinical Signs	"Sometimes convulsions and decreased tendon reflexes are observed. After convulsions, death may result from paralysis of the respiratory center. Artifical respiration may not preserve life for long because of rapid onset of concurrent vasomotor paralysis."
Castor Bean (Ricinus communis)	Clinical Signs	"In ducks, there is an ascending paralysis which may be confused with botulism. Sometimes thousands of ducks as well as geese are poisoned."
Castor Bean (Ricinus communis)	Clinical Signs	"For horses, signs include trembling, sweating, dyspnea, incoordination, vigorous heart contractions, shivering, cold extremities, depression, increased body temperature, weak pulse, constipation or diarrhea, and convulsions."
Castor Bean (Ricinus communis)	Clinical Signs	Cattle may have diarrhea stained with blood.
