"Keywords"	"Section"	"Description"
"Aedes mosquito"	"Class"	"Bugs"
"Aedes mosquito"	"Category"	"Mosquitos"
"Aedes mosquito"	"Clinical_Signs"	"Looks of bite: fluidly pump, and continent description
Feeling of bite: very itchy
Risk of bite: Malaria( you poop to your demise)"
"Aedes mosquito"	"Treatment"	"Cure: Wash the bite and surrounding area with soap and water. Apply an ice pack for 10 minutes to reduce swelling and itching. Reapply ice packs as needed. Apply a mixture of baking soda and water, which can help reduce the itch response."
"Alfalfa"	"Class"	"Plants"
"Alfalfa"	"Category"	"Plants"
"Alfalfa"	"Scientific_name"	"Medicago sativa"
"Alfalfa"	"Description"	"Alfalfa is an excellent forage crop when harvested and stored properly. However, the plant can cause \hepatogenous photosensitivity syndrome\ if water-damaged (Monlux AW . J Am Vet Med Assoc, Vol. 142, 9, p. 989-994, 1963). "
"Alfalfa"	"Clinical_Signs"	"Fresh alfalfa can cause bloating in cows."
"Alfalfa"	"Toxic_Principle"	"All parts of the plant. The primary poisons are canavanine and saponins."
"Alfalfa"	"Conditions_of_Poisoning"	"Consuming fresh alfalfa can cause cause bloating in cattle and sheep. Additionally, \saponins found in alfalfa limit its use for swine and poultry.\ (Source: Cornell University Plants Poisonous to Livestock) "
"Alfalfa"	"Control"	"Limit your livestock's intake of alfalfa, and ensure that you're not feeding them moldy or damp feed. "
"Alfalfa"	"Animals_Affected"	"Cattle, chickens, sheep, horses"
"Alfalfa"	"Distribution"	"Alfalfa is commonly cultivated for animal feed, and instances of it growing in the wild often occur near areas where it is purposefully cultivated. Midwestern states where it is commonly found include Illinois, Tennessee, and Alabama, but it is also found in western states like Colorado and New Mexico."
"Alfalfa"	"state"	"Alabama,Colorado,Illinois,New Mexico,Tennessee"
"Alfalfa"	"References_Used"	"http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30234961-2#distribution-map"
"Animas Ridgenose Rattlesnake"	"Class"	"Animals"
"Animas Ridgenose Rattlesnake"	"Category"	"Snake"
"Animas Ridgenose Rattlesnake"	"Scientific_name"	"Crotalus willardi obscurus"
"Animas Ridgenose Rattlesnake"	"Size"	"The average size of a mature Animas Ridgenose Rattlesnake is 1.5 - 2 feet in length."
